0	0	0	0
360	1170	2	30
360	1170	3	30
360	1170	2	75
360	1170	2	75
360	1170	3	30
360	1170	2	60
360	1170	3	45
360	1170	3	45
360	1170	3	60
360	1170	2	30
360	1170	3	30
360	1170	2	75
360	1170	2	30
360	1170	2	30
360	1170	1	90
360	1170	2	30
360	1170	1	90
360	1170	1	30
360	1170	1	60
360	1170	1	120
360	1170	3	30
360	1170	1	30
360	1170	1	60
360	1170	1	90
360	1170	1	60
360	1170	1	90
360	1170	1	60
360	1170	1	90
360	1170	3	30
360	1170	1	30
360	1170	2	90
360	1170	2	90
360	1170	3	45
360	1170	3	30
360	1170	3	45
360	1170	2	90
360	1170	2	30
360	1170	1	30
360	1170	1	90
360	1170	1	30
360	1170	1	30
360	1170	1	30
360	1170	1	30
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
480	480	0	60
550	550	0	60
614	614	0	75
697	697	0	90
791	791	0	30
824	824	0	45
874	874	0	30
912	912	0	60
977	977	0	60
480	480	0	60
544	544	0	60
611	611	0	30
651	651	0	90
747	747	0	120
872	872	0	30
904	904	0	30
937	937	0	60
999	999	0	90
480	480	0	45
528	528	0	30
567	567	0	30
600	600	0	30
635	635	0	90
734	734	0	30
766	766	0	60
