0	1440	1440	1440	1440	1440	1440	1440	1440	1440	1440	1440	1440	1440	1440	1440	1440	1440	1440	1440	1440	1440	1440	1440	1440	1440	1440	1440	1440
1440	0	37	1	42	45	41	38	24	34	28	36	36	30	38	22	37	41	27	66	54	26	37	11	26	64	44	20	36
1440	37	0	38	10	42	62	15	22	4	30	2	2	16	1	49	30	37	21	31	23	26	58	39	19	27	43	25	14
1440	1	38	0	42	46	42	38	24	35	28	37	37	31	39	22	38	42	27	67	55	26	37	11	26	65	45	21	37
1440	42	10	42	0	34	53	23	29	7	25	9	9	23	10	44	21	29	22	27	33	33	49	45	23	24	35	32	22
1440	45	42	46	34	0	25	49	48	38	21	41	40	46	42	33	14	5	26	40	62	52	27	53	28	43	1	50	48
1440	41	62	42	53	25	0	66	55	57	34	60	59	61	61	20	32	25	43	64	81	57	5	45	45	63	24	52	64
1440	38	15	38	23	49	66	0	16	17	32	15	15	9	16	50	36	44	23	46	23	13	62	35	21	43	50	18	1
1440	24	22	24	29	48	55	16	0	22	27	22	21	7	23	38	35	43	22	53	35	4	51	21	20	49	47	4	15
1440	34	4	35	7	38	57	17	22	0	27	2	2	17	4	46	25	33	18	34	26	26	54	38	17	30	39	25	15
1440	28	30	28	25	21	34	32	27	27	0	29	29	27	31	24	12	18	9	41	47	30	31	35	10	39	20	29	30
1440	36	2	37	9	41	60	15	22	2	29	0	1	15	2	48	28	35	20	32	24	25	56	38	19	28	42	25	14
1440	36	2	37	9	40	59	15	21	2	29	1	0	15	2	47	27	35	20	32	24	25	56	38	18	28	41	24	14
1440	30	16	31	23	46	61	9	7	17	27	15	15	0	17	44	33	41	20	47	29	10	57	27	18	43	47	10	8
1440	38	1	39	10	42	61	16	23	4	31	2	2	17	0	50	29	37	22	30	24	27	58	40	20	26	43	26	15
1440	22	49	22	44	33	20	50	38	46	24	48	47	44	50	0	26	29	32	57	66	40	15	26	32	56	32	34	49
1440	37	30	38	21	14	32	36	35	25	12	28	27	33	29	26	0	9	13	34	50	38	29	44	15	33	15	37	34
1440	41	37	42	29	5	25	44	43	33	18	35	35	41	37	29	9	0	21	39	58	46	24	49	23	39	6	45	43
1440	27	21	27	22	26	43	23	22	18	9	20	20	20	22	32	13	21	0	40	38	25	39	32	2	38	27	24	22
1440	66	31	67	27	40	64	46	53	34	41	32	32	47	30	57	34	39	40	0	42	57	62	70	41	8	41	56	45
1440	54	23	55	33	62	81	23	35	26	47	24	24	29	24	66	50	58	38	42	0	33	78	52	37	36	63	38	24
1440	26	26	26	33	52	57	13	4	26	30	25	25	10	27	40	38	46	25	57	34	0	53	23	24	53	51	6	15
1440	37	58	37	49	27	5	62	51	54	31	56	56	57	58	15	29	24	39	62	78	53	0	41	41	61	26	47	61
1440	11	39	11	45	53	45	35	21	38	35	38	38	27	40	26	44	49	32	70	52	23	41	0	30	66	52	17	34
1440	26	19	26	23	28	45	21	20	17	10	19	18	18	20	32	15	23	2	41	37	24	41	30	0	39	29	23	20
1440	64	27	65	24	43	63	43	49	30	39	28	28	43	26	56	33	39	38	8	36	53	61	66	39	0	44	52	41
1440	44	43	45	35	1	24	50	47	39	20	42	41	47	43	32	15	6	27	41	63	51	26	52	29	44	0	49	49
1440	20	25	21	32	50	52	18	4	25	29	25	24	10	26	34	37	45	24	56	38	6	47	17	23	52	49	0	18
1440	36	14	37	22	48	64	1	15	15	30	14	14	8	15	49	34	43	22	45	24	15	61	34	20	41	49	18	0
