0	31	68	34	34	34	79	79	79	27	69	49	49	28	80	63	49	55	36	36	34	34	68	68	22	69	69	28	17	43	49	38	38	96	96	96	34	49	33	33	33	59	59	35	35	35	35	61	61	70	70	70	60	36	27	43	8	41	42	42	42	42	2	61	44	44	59	59	59	64	43	43	43	37	37	37	58	58	39	27	42	36	36	31	31	31	59	47	26	26	26	49	49	36	36	36	36	67	67	67	18	21	3	3	22	36	17	17	25	25	25	25	25	14	32	32	32	32	31	31	54	25	40	40	37	28	27	27	27	27	1	55	55	55
31	0	44	27	27	27	56	56	56	56	44	26	26	54	57	35	36	38	23	23	3	3	97	97	22	46	46	56	44	18	71	8	8	78	78	78	25	35	27	27	27	88	88	12	12	12	12	90	90	45	45	45	34	8	56	17	36	10	17	17	17	17	29	30	47	47	42	42	42	33	19	19	19	56	56	56	86	86	16	56	71	23	23	60	60	60	41	35	13	13	13	65	65	65	65	65	65	41	41	41	24	13	34	34	17	7	23	23	54	18	18	18	18	17	12	12	12	12	60	60	37	14	17	17	62	54	56	56	56	56	31	38	38	38
68	44	0	37	37	37	17	17	17	93	1	44	44	81	17	41	38	24	34	34	42	42	135	135	52	14	14	94	82	28	86	45	45	38	38	38	36	30	38	38	38	125	125	33	33	33	33	127	127	1	1	1	22	37	93	43	74	41	27	27	27	27	66	38	54	54	26	26	26	37	26	26	26	71	71	71	124	124	44	93	107	34	34	98	98	98	20	36	43	43	43	79	79	102	102	102	102	22	22	22	63	51	71	71	56	47	62	62	91	46	46	46	46	55	36	36	36	36	93	93	25	44	28	28	79	81	93	93	93	93	68	29	29	29
34	27	37	0	1	1	46	46	46	58	38	53	53	45	47	62	15	22	4	4	30	30	100	100	15	36	36	59	47	30	55	35	35	63	63	63	2	16	1	1	1	90	90	24	24	24	24	92	92	38	38	38	49	30	59	44	39	37	21	21	21	21	31	56	23	23	26	26	26	58	19	19	19	40	40	40	89	89	43	58	71	4	4	63	63	63	25	14	16	16	16	48	48	67	67	67	67	54	54	54	29	21	37	37	26	34	27	27	56	12	12	12	12	20	21	21	21	21	57	57	21	15	18	18	48	45	58	58	58	58	34	22	22	22
34	27	37	1	0	1	46	46	46	58	38	53	53	45	47	62	15	22	4	4	30	30	100	100	15	36	36	59	47	30	55	35	35	63	63	63	2	16	1	1	1	90	90	24	24	24	24	92	92	38	38	38	49	30	59	44	39	37	21	21	21	21	31	56	23	23	26	26	26	58	19	19	19	40	40	40	89	89	43	58	71	4	4	63	63	63	25	14	16	16	16	48	48	67	67	67	67	54	54	54	29	21	37	37	26	34	27	27	56	12	12	12	12	20	21	21	21	21	57	57	21	15	18	18	48	45	58	58	58	58	34	22	22	22
34	27	37	1	1	0	46	46	46	58	38	53	53	45	47	62	15	22	4	4	30	30	100	100	15	36	36	59	47	30	55	35	35	63	63	63	2	16	1	1	1	90	90	24	24	24	24	92	92	38	38	38	49	30	59	44	39	37	21	21	21	21	31	56	23	23	26	26	26	58	19	19	19	40	40	40	89	89	43	58	71	4	4	63	63	63	25	14	16	16	16	48	48	67	67	67	67	54	54	54	29	21	37	37	26	34	27	27	56	12	12	12	12	20	21	21	21	21	57	57	21	15	18	18	48	45	58	58	58	58	34	22	22	22
79	56	17	46	46	46	0	1	1	104	16	58	58	90	1	51	42	29	45	45	54	54	146	146	61	10	10	105	93	41	92	57	57	27	27	27	45	35	47	47	47	136	136	46	46	46	46	138	138	16	16	16	31	51	105	56	85	55	39	39	39	39	77	50	60	60	30	30	30	46	38	38	38	77	77	77	135	135	58	104	117	45	45	109	109	109	25	41	55	55	55	85	85	113	113	113	113	32	32	32	75	64	83	83	69	60	73	73	102	57	57	57	57	66	49	49	49	49	103	103	30	56	41	41	89	90	104	104	104	104	79	33	33	33
79	56	17	46	46	46	1	0	1	104	16	58	58	90	1	51	42	29	45	45	54	54	146	146	61	10	10	105	93	41	92	57	57	27	27	27	45	35	47	47	47	136	136	46	46	46	46	138	138	16	16	16	31	51	105	56	85	55	39	39	39	39	77	50	60	60	30	30	30	46	38	38	38	77	77	77	135	135	58	104	117	45	45	109	109	109	25	41	55	55	55	85	85	113	113	113	113	32	32	32	75	64	83	83	69	60	73	73	102	57	57	57	57	66	49	49	49	49	103	103	30	56	41	41	89	90	104	104	104	104	79	33	33	33
79	56	17	46	46	46	1	1	0	104	16	58	58	90	1	51	42	29	45	45	54	54	146	146	61	10	10	105	93	41	92	57	57	27	27	27	45	35	47	47	47	136	136	46	46	46	46	138	138	16	16	16	31	51	105	56	85	55	39	39	39	39	77	50	60	60	30	30	30	46	38	38	38	77	77	77	135	135	58	104	117	45	45	109	109	109	25	41	55	55	55	85	85	113	113	113	113	32	32	32	75	64	83	83	69	60	73	73	102	57	57	57	57	66	49	49	49	49	103	103	30	56	41	41	89	90	104	104	104	104	79	33	33	33
27	56	93	58	58	58	104	104	104	0	94	74	74	20	105	89	73	80	61	61	59	59	57	57	47	94	94	19	25	68	33	63	63	121	121	121	59	74	57	57	57	48	48	60	60	60	60	49	49	94	94	94	84	61	1	68	20	66	67	67	67	67	27	86	64	64	84	84	84	89	68	68	68	38	38	38	46	46	64	1	28	61	61	25	25	25	83	72	51	51	51	44	44	27	27	27	27	92	92	92	44	46	30	30	47	62	42	42	15	50	50	50	50	39	57	57	57	57	9	9	79	50	65	65	27	20	1	1	1	1	27	80	80	80
69	44	1	38	38	38	16	16	16	94	0	45	45	81	17	42	38	24	35	35	42	42	135	135	52	13	13	94	83	28	87	45	45	38	38	38	37	31	39	39	39	126	126	34	34	34	34	128	128	1	1	1	22	38	94	43	74	42	27	27	27	27	67	39	55	55	26	26	26	37	26	26	26	72	72	72	124	124	45	94	108	35	35	98	98	98	21	37	43	43	43	80	80	103	103	103	103	23	23	23	64	52	72	72	57	48	62	62	92	47	47	47	47	55	37	37	37	37	94	94	25	44	29	29	80	81	94	94	94	94	69	29	29	29
49	26	44	53	53	53	58	58	58	74	45	0	1	77	59	17	60	55	49	49	23	23	114	114	48	49	49	75	52	28	97	24	24	79	79	79	51	55	53	53	53	105	105	34	34	34	34	107	107	45	45	45	29	25	74	9	56	16	37	37	37	37	51	19	73	73	58	58	58	22	38	38	38	82	82	82	104	104	13	74	88	49	49	77	77	77	52	58	39	39	39	91	91	83	83	83	83	36	36	36	41	35	46	46	38	24	40	40	72	44	44	44	44	42	36	36	36	36	78	78	54	40	39	39	86	77	74	74	74	74	49	57	57	57
