360	1200	1	90
360	1200	1	120
660	840	1	60
360	600	1	60
660	840	1	75
960	1200	1	45
360	600	2	90
660	840	2	60
960	1200	2	45
360	600	1	120
660	840	1	60
360	600	1	60
960	1200	1	45
360	600	2	60
360	600	1	60
360	600	1	60
360	600	1	120
360	1200	1	75
360	600	1	60
960	1200	1	45
360	1200	1	60
360	1200	1	60
360	600	2	30
660	840	1	150
360	1200	1	120
360	1200	3	45
360	600	1	60
360	600	1	60
360	600	1	90
360	600	1	90
960	1200	1	45
360	600	1	60
960	1200	1	45
360	600	1	60
660	840	1	45
960	1200	1	45
660	840	3	150
660	840	3	60
360	600	1	75
660	840	1	60
960	1200	1	60
360	600	1	60
660	840	1	45
360	600	1	60
360	1200	3	30
660	840	1	45
960	1200	1	45
360	600	1	75
960	1200	1	45
360	600	1	75
660	840	1	60
960	1200	1	45
360	600	1	45
360	600	1	60
360	600	2	30
360	1200	1	120
660	840	1	120
360	1200	1	120
360	600	1	45
960	1200	1	30
360	600	1	45
960	1200	1	45
660	840	1	60
360	1200	1	120
360	600	1	75
660	840	1	45
360	600	1	90
660	840	1	60
960	1200	1	45
660	840	1	75
360	600	2	75
660	840	2	60
960	1200	1	45
360	600	1	60
660	840	1	30
960	1200	1	30
360	600	1	60
960	1200	1	45
360	600	1	105
360	600	1	90
360	600	1	90
660	840	1	90
960	1200	1	45
360	600	1	45
660	840	1	60
960	1200	1	30
660	840	1	90
360	1200	1	60
360	600	2	75
660	840	2	105
960	1200	2	60
360	600	1	45
360	600	1	45
360	600	1	45
660	840	3	60
660	840	1	30
960	1200	1	45
360	600	1	105
660	840	1	60
960	1200	1	60
360	1200	1	60
660	840	1	120
660	840	1	60
660	840	1	60
360	600	1	60
360	600	1	60
660	840	1	45
960	1200	1	45
360	1200	1	60
360	600	1	60
360	1200	3	45
660	840	1	45
960	1200	1	60
360	600	1	75
360	1200	3	45
360	600	2	90
660	840	2	75
960	1200	2	75
360	1200	1	75
960	1200	1	45
360	600	1	60
360	1200	1	60
360	600	1	30
960	1200	1	30
360	600	1	45
360	1200	1	60
360	600	1	90
660	840	1	45
660	840	1	45
960	1200	1	45
360	600	1	90
360	600	1	60
660	840	1	45
960	1200	1	45
