0	24	17	34	22	12	39	21	21	26	40	34	41	22	35	15	23	32	33	25	17	24	25	38	16	34	45	21	12	5	33
24	0	15	11	7	29	29	23	20	22	31	11	29	17	34	15	10	8	12	4	25	29	8	19	32	14	38	8	26	28	9
17	15	0	26	19	28	42	29	27	32	43	26	42	26	43	20	22	20	28	19	10	34	21	34	32	30	50	19	12	21	23
34	11	26	0	13	38	26	28	25	25	28	2	25	21	36	23	15	7	6	9	36	34	11	13	40	9	36	14	37	39	4
22	7	19	13	0	24	23	16	13	15	24	12	23	10	27	9	3	14	11	4	28	22	3	16	27	12	32	1	27	26	13
12	29	28	38	24	0	34	14	16	21	34	36	36	19	26	14	23	38	35	29	30	13	27	36	4	34	37	23	24	10	38
39	29	42	26	23	34	0	20	18	13	2	24	2	17	14	25	20	33	20	25	51	21	21	14	33	17	10	23	48	41	30
21	23	29	28	16	14	20	0	3	7	20	26	22	7	14	9	13	31	24	20	35	6	17	23	13	22	24	15	31	22	30
21	20	27	25	13	16	18	3	0	5	18	23	20	3	16	7	10	27	20	17	34	9	13	20	17	19	24	12	31	23	26
26	22	32	25	15	21	13	7	5	0	13	23	15	5	12	12	12	29	19	19	39	10	15	17	20	17	19	14	36	28	27
40	31	43	28	24	34	2	20	18	13	0	26	4	18	12	25	21	35	22	26	52	21	23	16	33	19	8	24	49	42	32
34	11	26	2	12	36	24	26	23	23	26	0	23	19	34	22	13	9	4	8	36	32	9	11	38	7	34	13	37	38	5
41	29	42	25	23	36	2	22	20	15	4	23	0	18	16	26	20	32	19	24	51	24	21	12	35	16	12	23	49	43	29
22	17	26	21	10	19	17	7	3	5	18	19	18	0	18	7	7	24	17	14	34	13	10	17	20	15	24	9	31	25	23
35	34	43	36	27	26	14	14	16	12	12	34	16	18	0	23	24	41	30	31	50	12	27	26	23	27	12	26	46	35	39
15	15	20	23	9	14	25	9	7	12	25	22	26	7	23	0	8	23	20	14	26	15	12	23	17	20	32	8	23	18	23
23	10	22	15	3	23	20	13	10	12	21	13	20	7	24	8	0	17	11	7	30	19	3	15	25	11	29	2	29	26	16
32	8	20	7	14	38	33	31	27	29	35	9	32	24	41	23	17	0	13	10	30	37	14	20	40	16	43	15	32	37	3
33	12	28	6	11	35	20	24	20	19	22	4	19	17	30	20	11	13	0	9	38	29	8	7	36	3	30	12	38	37	9
25	4	19	9	4	29	25	20	17	19	26	8	24	14	31	14	7	10	9	0	29	26	4	15	31	10	34	5	29	29	9
17	25	10	36	28	30	51	35	34	39	52	36	51	34	50	26	30	30	38	29	0	39	31	44	34	39	58	28	6	21	33
24	29	34	34	22	13	21	6	9	10	21	32	24	13	12	15	19	37	29	26	39	0	23	28	12	27	23	21	35	23	36
25	8	21	11	3	27	21	17	13	15	23	9	21	10	27	12	3	14	8	4	31	23	0	13	29	9	30	4	30	29	12
38	19	34	13	16	36	14	23	20	17	16	11	12	17	26	23	15	20	7	15	44	28	13	0	37	5	24	17	43	41	17
16	32	32	40	27	4	33	13	17	20	33	38	35	20	23	17	25	40	36	31	34	12	29	37	0	35	35	25	28	14	40
34	14	30	9	12	34	17	22	19	17	19	7	16	15	27	20	11	16	3	10	39	27	9	5	35	0	27	13	39	38	13
45	38	50	36	32	37	10	24	24	19	8	34	12	24	12	32	29	43	30	34	58	23	30	24	35	27	0	32	55	46	40
21	8	19	14	1	23	23	15	12	14	24	13	23	9	26	8	2	15	12	5	28	21	4	17	25	13	32	0	26	25	15
12	26	12	37	27	24	48	31	31	36	49	37	49	31	46	23	29	32	38	29	6	35	30	43	28	39	55	26	0	15	34
5	28	21	39	26	10	41	22	23	28	42	38	43	25	35	18	26	37	37	29	21	23	29	41	14	38	46	25	15	0	38
33	9	23	4	13	38	30	30	26	27	32	5	29	23	39	23	16	3	9	9	33	36	12	17	40	13	40	15	34	38	0
