0	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
99999	0	17	5	5	5	30	30	30	30	26	32	48	48	53	30	30	14	53	30	39	52	51	51	43	43	15	45	45	45	45	8	8	36	33	33	33	12	30	39	30	44	44	44	50	50	50	14	14	14	33	33	33	33	49	49	32	44	56	56	56	30	30	55	55	55	34	34	31	14	5	5	5	44	31	30	16	21	21	21	30	30	18	35	35
99999	17	0	20	20	20	46	46	46	46	20	16	34	34	37	46	46	9	39	46	25	39	37	37	29	29	30	29	29	29	29	10	10	20	17	17	17	27	46	25	46	30	30	30	37	37	37	16	16	16	25	25	25	25	36	36	48	27	39	39	39	46	46	41	41	41	16	16	18	9	20	20	20	30	16	46	4	37	37	37	46	46	11	19	19
99999	5	20	0	1	1	26	26	26	26	23	31	46	46	54	26	26	14	51	26	36	49	49	49	41	41	10	44	44	44	44	12	12	37	34	34	34	7	26	37	26	42	42	42	48	48	48	18	18	18	30	30	30	30	46	46	28	46	57	57	57	26	26	53	53	53	36	36	29	14	1	1	1	42	31	26	16	17	17	17	26	26	16	36	36
99999	5	20	1	0	1	26	26	26	26	23	31	46	46	54	26	26	14	51	26	36	49	49	49	41	41	10	44	44	44	44	12	12	37	34	34	34	7	26	37	26	42	42	42	48	48	48	18	18	18	30	30	30	30	46	46	28	46	57	57	57	26	26	53	53	53	36	36	29	14	1	1	1	42	31	26	16	17	17	17	26	26	16	36	36
99999	5	20	1	1	0	26	26	26	26	23	31	46	46	54	26	26	14	51	26	36	49	49	49	41	41	10	44	44	44	44	12	12	37	34	34	34	7	26	37	26	42	42	42	48	48	48	18	18	18	30	30	30	30	46	46	28	46	57	57	57	26	26	53	53	53	36	36	29	14	1	1	1	42	31	26	16	17	17	17	26	26	16	36	36
99999	30	46	26	26	26	0	1	1	1	37	56	71	71	79	1	1	39	76	1	62	62	74	74	66	66	20	69	69	69	69	38	38	62	59	59	59	18	1	61	1	67	67	67	74	74	74	41	41	41	47	47	47	47	63	63	15	72	82	82	82	1	1	71	71	71	61	61	51	39	26	26	26	67	56	1	41	9	9	9	1	1	41	61	61
99999	30	46	26	26	26	1	0	1	1	37	56	71	71	79	1	1	39	76	1	62	62	74	74	66	66	20	69	69	69	69	38	38	62	59	59	59	18	1	61	1	67	67	67	74	74	74	41	41	41	47	47	47	47	63	63	15	72	82	82	82	1	1	71	71	71	61	61	51	39	26	26	26	67	56	1	41	9	9	9	1	1	41	61	61
99999	30	46	26	26	26	1	1	0	1	37	56	71	71	79	1	1	39	76	1	62	62	74	74	66	66	20	69	69	69	69	38	38	62	59	59	59	18	1	61	1	67	67	67	74	74	74	41	41	41	47	47	47	47	63	63	15	72	82	82	82	1	1	71	71	71	61	61	51	39	26	26	26	67	56	1	41	9	9	9	1	1	41	61	61
99999	30	46	26	26	26	1	1	1	0	37	56	71	71	79	1	1	39	76	1	62	62	74	74	66	66	20	69	69	69	69	38	38	62	59	59	59	18	1	61	1	67	67	67	74	74	74	41	41	41	47	47	47	47	63	63	15	72	82	82	82	1	1	71	71	71	61	61	51	39	26	26	26	67	56	1	41	9	9	9	1	1	41	61	61
