Iter	OF	   WalkingTime 	  driverCost   HHCcost   travelTime  	waitingTime
	0.00	296.00	0.00	291.00	210.00	245.00	13.00
	1.00	296.00	0.00	291.00	210.00	245.00	13.00
	2.00	296.00	0.00	291.00	210.00	245.00	13.00
	3.00	296.00	0.00	291.00	210.00	245.00	13.00
	4.00	296.00	0.00	291.00	210.00	245.00	13.00
	5.00	296.00	0.00	291.00	210.00	245.00	13.00
	6.00	296.00	0.00	291.00	210.00	245.00	13.00
	7.00	296.00	0.00	291.00	210.00	245.00	13.00
	8.00	296.00	0.00	291.00	210.00	245.00	13.00
	9.00	296.00	0.00	291.00	210.00	245.00	13.00
	10.00	296.00	0.00	291.00	210.00	245.00	13.00
	11.00	296.00	0.00	291.00	210.00	245.00	13.00
	12.00	291.00	0.00	291.00	253.00	290.00	11.00
	13.00	291.00	0.00	291.00	253.00	290.00	11.00
	14.00	291.00	0.00	291.00	253.00	290.00	11.00
	15.00	291.00	0.00	291.00	253.00	290.00	11.00
	16.00	291.00	0.00	291.00	253.00	290.00	11.00
	17.00	291.00	0.00	291.00	253.00	290.00	11.00
	18.00	291.00	0.00	291.00	253.00	290.00	11.00
	19.00	291.00	0.00	291.00	253.00	290.00	11.00
	20.00	291.00	0.00	291.00	253.00	290.00	11.00
	21.00	291.00	0.00	291.00	253.00	290.00	11.00
	22.00	291.00	0.00	291.00	253.00	290.00	11.00
	23.00	291.00	0.00	291.00	253.00	290.00	11.00
	24.00	291.00	0.00	291.00	253.00	290.00	11.00
	25.00	291.00	0.00	291.00	253.00	290.00	11.00
	26.00	291.00	0.00	291.00	253.00	290.00	11.00
	27.00	291.00	0.00	291.00	253.00	290.00	11.00
	28.00	291.00	0.00	291.00	253.00	290.00	11.00
	29.00	291.00	0.00	291.00	253.00	290.00	11.00
	30.00	291.00	0.00	291.00	253.00	290.00	11.00
	31.00	291.00	0.00	291.00	253.00	290.00	11.00
	32.00	291.00	0.00	291.00	253.00	290.00	11.00
	33.00	291.00	0.00	291.00	253.00	290.00	11.00
	34.00	291.00	0.00	291.00	253.00	290.00	11.00
	35.00	291.00	0.00	291.00	253.00	290.00	11.00
	36.00	291.00	0.00	291.00	253.00	290.00	11.00
	37.00	291.00	0.00	291.00	253.00	290.00	11.00
	38.00	291.00	0.00	291.00	253.00	290.00	11.00
	39.00	290.00	0.00	290.00	180.00	220.00	9.00
	40.00	290.00	0.00	290.00	180.00	220.00	9.00
	41.00	290.00	0.00	290.00	180.00	220.00	9.00
	42.00	290.00	0.00	290.00	180.00	220.00	9.00
	43.00	290.00	0.00	290.00	180.00	220.00	9.00
	44.00	290.00	0.00	290.00	180.00	220.00	9.00
	45.00	290.00	0.00	290.00	180.00	220.00	9.00
	46.00	290.00	0.00	290.00	180.00	220.00	9.00
	47.00	290.00	0.00	290.00	180.00	220.00	9.00
	48.00	290.00	0.00	290.00	180.00	220.00	9.00
	49.00	290.00	0.00	290.00	180.00	220.00	9.00
